sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新竹,新竹市,36,,良好,0.9,0.25,28.9,39.2,28,9,6.5,7,0.4,2.8,236,"2023/08/06 21:00:00",0.2,9.9,30,0,120.97236752,24.8056356,24
頭份,苗栗縣,43,,良好,1.1,0.18,31.8,46.4,33,10,3.3,4.8,1.4,3.5,231,"2023/08/06 21:00:00",0.2,10.5,31,1,120.89869286,24.69690679,25
苗栗,苗栗縣,45,,良好,1.2,0.19,30,47.4,23,10,3.7,4.9,1.2,4.8,197,"2023/08/06 21:00:00",0.1,13.8,26,1,120.82011468,24.56499183,26
三義,苗栗縣,42,,良好,1.1,0.13,30.7,45.7,28,9,2.2,3,0.7,5.5,182,"2023/08/06 21:00:00",0.1,11.6,27,1,120.75956754,24.38248443,27
豐原,臺中市,41,,良好,1.8,0.17,30.3,44.4,25,14,2.2,3,0.8,4,170,"2023/08/06 21:00:00",0.1,12.7,26,1,120.74252414,24.25699731,28
沙鹿,臺中市,44,,良好,0.8,0.19,25.4,42.8,33,8,4.7,5.1,0.3,3,161,"2023/08/06 21:00:00",0.1,13.4,33,0,120.568794,24.225628,29
大里,臺中市,34,,良好,1.2,0.18,23.4,37.1,36,8,5.8,6.5,0.7,1.9,139,"2023/08/06 21:00:00",0.1,9.7,30,1,120.67844444,24.09961111,30
忠明,臺中市,42,,良好,0.8,0.21,25.7,40.8,33,8,4,5,0.9,1.8,161,"2023/08/06 21:00:00",0.2,13,28,0,120.641092,24.151958,31
西屯,臺中市,45,,良好,0.9,0.17,24,43.2,34,15,5,6.1,1.1,2.6,177,"2023/08/06 21:00:00",0.1,13.8,31,0,120.616917,24.162197,32
彰化,彰化縣,50,,良好,0.4,0.12,25.1,38.7,33,11,2.9,4.1,1.2,1.5,158,"2023/08/06 21:00:00",0.1,15.3,32,0,120.541519,24.066,33
線西,彰化縣,60,細懸浮微粒,普通,0.5,0.11,26.6,39.3,34,20,1,1,0,3.8,192,"2023/08/06 21:00:00",0.1,19.1,38,0,120.469061,24.131672,34
二林,彰化縣,44,,良好,0.8,0.12,23.6,35.7,34,9,1.7,2,0.3,2.8,194,"2023/08/06 21:00:00",0.1,13.7,34,0,120.409653,23.925175,35
南投,南投縣,40,,良好,0.6,0.18,21.7,36.6,35,15,4,4.3,0.2,1.3,160,"2023/08/06 21:00:00",0.1,12.2,31,0,120.685306,23.913,36
